model_name	model_parameters	activation_func	optimization	epochs	date	test_loss	test_acc	test_prec	test_recall
small_bert	bert_en_uncased_L-2_H-128_A-2	sigmoid	Adam	1	2023-04-04_21-29-41	0.0276550482958555	0.9919282793998718	0.9794520735740662	0.9597315192222596
small_bert	bert_en_uncased_L-2_H-128_A-2	sigmoid	Adam	4	2023-04-04_21-54-19	0.0448978766798973	0.9919282793998718	1.0	0.9395973086357116
small_bert	bert_en_uncased_L-2_H-128_A-2	sigmoid	Adam	5	2023-04-04_21-47-01	0.0524408854544162	0.9901345372200012	0.9928571581840516	0.9328858852386476
small_bert	bert_en_uncased_L-2_H-128_A-2	sigmoid	Adamax	4	2023-04-05_10-46-15	0.036883894354104996	0.9901345372200012	0.9539473652839661	0.9731543660163879
